ec	n_uniprot_xrefs	description
1.1.3.19	0	4-hydroxymandelate oxidase (decarboxylating).
1.1.3.20	7	long-chain-alcohol oxidase.
1.1.3.21	10	glycerol-3-phosphate oxidase.
1.1.3.23	0	thiamine oxidase.
1.1.3.27	0	hydroxyphytanate oxidase.
1.1.3.28	0	nucleoside oxidase.
1.1.3.29	1	N-acylhexosamine oxidase.
1.1.3.30	0	polyvinyl-alcohol oxidase.
1.1.3.37	9	D-arabinono-1,4-lactone oxidase.
1.1.3.38	1	vanillyl-alcohol oxidase.
1.1.3.39	0	nucleoside oxidase (H2O2-forming).
1.1.3.40	0	D-mannitol oxidase.
1.1.3.41	2	alditol oxidase.
1.1.3.42	1	prosolanapyrone-II oxidase.
1.1.3.43	1	paromamine 6'-oxidase.
1.1.3.44	1	6'''-hydroxyneomycin C oxidase.
1.1.3.45	1	aclacinomycin-N oxidase.
1.1.3.46	1	4-hydroxymandelate oxidase.
1.1.3.47	1	5-(hydroxymethyl)furfural oxidase.
1.1.3.48	1	3-deoxy-alpha-D-manno-octulosonate 8-oxidase.
1.1.3.49	0	(R)-mandelonitrile oxidase.
1.1.3.50	3	C-glycoside oxidase.
1.1.5.2	3	quinoprotein glucose dehydrogenase (PQQ, quinone).
1.1.5.3	120	glycerol-3-phosphate dehydrogenase.
1.1.5.4	184	malate dehydrogenase (quinone).
1.1.5.5	7	alcohol dehydrogenase (quinone).
1.1.5.7	0	cyclic alcohol dehydrogenase (quinone).
1.1.5.8	2	quinate/shikimate dehydrogenase (quinone).
1.1.5.9	2	glucose 1-dehydrogenase (FAD, quinone).
1.1.5.10	0	D-2-hydroxyacid dehydrogenase (quinone).
1.1.5.11	1	1-butanol dehydrogenase (quinone).
1.1.5.12	3	D-lactate dehydrogenase (quinone).
1.1.5.13	3	(S)-2-hydroxyglutarate dehydrogenase.
1.1.5.14	1	fructose 5-dehydrogenase.
1.1.5.n1	0	quinoprotein inositol dehydrogenase.
1.1.7.1	3	4-hydroxybenzoyl-CoA reductase.
1.1.9.1	3	alcohol dehydrogenase (azurin).
1.1.98.2	23	glucose-6-phosphate dehydrogenase (coenzyme-F420).
1.1.98.3	3	decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase.
1.1.98.4	0	F420H2:quinone oxidoreductase.
1.1.98.5	0	secondary-alcohol dehydrogenase (coenzyme-F420).
1.1.98.6	4	ribonucleoside-triphosphate reductase (formate).
1.1.98.7	3	serine-type anaerobic sulfatase-maturating enzyme.
1.1.99.1	122	choline dehydrogenase.
1.1.99.2	12	L-2-hydroxyglutarate dehydrogenase.
1.1.99.3	3	gluconate 2-dehydrogenase (acceptor).
1.1.99.4	0	dehydrogluconate dehydrogenase.
1.1.99.6	2	D-lactate dehydrogenase (acceptor).
1.1.99.7	0	lactate--malate transhydrogenase.
1.1.99.9	0	pyridoxine 5-dehydrogenase.
1.1.99.12	0	sorbose dehydrogenase.
1.1.99.13	0	glucoside 3-dehydrogenase (acceptor).
1.1.99.14	6	glycolate dehydrogenase.
1.1.99.18	1	cellobiose dehydrogenase (acceptor).
1.1.99.20	0	alkan-1-ol dehydrogenase (acceptor).
1.1.99.21	0	D-sorbitol dehydrogenase (acceptor).
1.1.99.22	4	glycerol dehydrogenase (acceptor).
1.1.99.24	14	hydroxyacid-oxoacid transhydrogenase.
1.1.99.26	0	3-hydroxycyclohexanone dehydrogenase.
1.1.99.27	0	(R)-pantolactone dehydrogenase (flavin).
1.1.99.28	1	glucose-fructose oxidoreductase.
1.1.99.29	6	pyranose dehydrogenase (acceptor).
1.1.99.30	1	2-oxo-acid reductase.
1.1.99.31	2	(S)-mandelate dehydrogenase.
1.1.99.32	1	L-sorbose 1-dehydrogenase.
1.1.99.35	1	soluble quinoprotein glucose dehydrogenase.
1.1.99.36	2	alcohol dehydrogenase (nicotinoprotein).
1.1.99.37	3	methanol dehydrogenase (nicotinoprotein).
1.1.99.38	1	2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent).
1.1.99.39	14	D-2-hydroxyglutarate dehydrogenase.
1.1.99.40	2	(R)-2-hydroxyglutarate--pyruvate transhydrogenase.
1.1.99.41	1	3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine reductase.
1.1.99.42	1	4-pyridoxate dehydrogenase.
1.2.1.3	138	aldehyde dehydrogenase (NAD(+)).
1.2.1.4	5	aldehyde dehydrogenase (NADP(+)).
1.2.1.5	15	aldehyde dehydrogenase [NAD(P)(+)].
1.2.1.7	5	benzaldehyde dehydrogenase (NADP(+)).
1.2.1.8	251	betaine-aldehyde dehydrogenase.
1.2.1.9	9	glyceraldehyde-3-phosphate dehydrogenase (NADP(+)).
1.2.1.10	172	acetaldehyde dehydrogenase (acetylating).
1.2.1.11	55	aspartate-semialdehyde dehydrogenase.
1.2.1.12	257	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating).
1.2.1.13	16	glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating).
1.2.1.15	0	malonate-semialdehyde dehydrogenase.
1.2.1.16	6	succinate-semialdehyde dehydrogenase [NAD(P)(+)].
1.2.1.17	0	glyoxylate dehydrogenase (acylating).
1.2.1.18	0	malonate-semialdehyde dehydrogenase (acetylating).
1.2.1.19	65	aminobutyraldehyde dehydrogenase.
1.2.1.20	0	glutarate-semialdehyde dehydrogenase.
1.2.1.21	1	glycolaldehyde dehydrogenase.
1.2.1.22	7	lactaldehyde dehydrogenase.
1.2.1.23	0	2-oxoaldehyde dehydrogenase (NAD(+)).
1.2.1.24	12	succinate-semialdehyde dehydrogenase (NAD(+)).
1.2.1.25	0	branched-chain alpha-keto acid dehydrogenase system.
1.2.1.26	9	2,5-dioxovalerate dehydrogenase.
1.2.1.27	53	methylmalonate-semialdehyde dehydrogenase (CoA acylating).
1.2.1.28	25	benzaldehyde dehydrogenase (NAD(+)).
1.2.1.29	0	aryl-aldehyde dehydrogenase.
1.2.1.30	2	carboxylate reductase (NADP(+)).
1.2.1.31	13	L-aminoadipate-semialdehyde dehydrogenase.
1.2.1.32	5	aminomuconate-semialdehyde dehydrogenase.
1.2.1.33	0	(R)-dehydropantoate dehydrogenase.
1.2.1.36	23	retinal dehydrogenase.
1.2.1.38	397	N-acetyl-gamma-glutamyl-phosphate reductase.
1.2.1.39	3	phenylacetaldehyde dehydrogenase.
1.2.1.41	578	glutamate-5-semialdehyde dehydrogenase.
1.2.1.42	0	hexadecanal dehydrogenase (acylating).
1.2.1.44	7	cinnamoyl-CoA reductase.
1.2.1.46	10	formaldehyde dehydrogenase.
1.2.1.47	18	4-trimethylammoniobutyraldehyde dehydrogenase.
1.2.1.48	7	long-chain-aldehyde dehydrogenase.
1.2.1.49	0	2-oxoaldehyde dehydrogenase (NADP(+)).
1.2.1.50	7	long-chain-fatty-acyl-CoA reductase.
1.2.1.51	2	pyruvate dehydrogenase (NADP(+)).
1.2.1.53	0	4-hydroxyphenylacetaldehyde dehydrogenase.
1.2.1.54	9	gamma-guanidinobutyraldehyde dehydrogenase.
1.2.1.57	0	butanal dehydrogenase.
1.2.1.58	5	phenylglyoxylate dehydrogenase (acylating).
1.2.1.59	61	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating).
1.2.1.60	1	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase.
1.2.1.61	0	4-hydroxymuconic-semialdehyde dehydrogenase.
1.2.1.62	1	4-formylbenzenesulfonate dehydrogenase.
1.2.1.63	2	6-oxohexanoate dehydrogenase.
1.2.1.64	2	4-hydroxybenzaldehyde dehydrogenase (NAD(+)).
1.2.1.65	2	salicylaldehyde dehydrogenase.
1.2.1.67	5	vanillin dehydrogenase.
1.2.1.68	3	coniferyl-aldehyde dehydrogenase.
1.2.1.69	1	fluoroacetaldehyde dehydrogenase.
1.2.1.70	583	glutamyl-tRNA reductase.
1.2.1.71	134	succinylglutamate-semialdehyde dehydrogenase.
1.2.1.72	92	erythrose-4-phosphate dehydrogenase.
1.2.1.73	1	sulfoacetaldehyde dehydrogenase.
1.2.1.74	0	abieta-7,13-dien-18-al dehydrogenase.
1.2.1.75	2	malonyl CoA reductase (malonate semialdehyde-forming).
1.2.1.76	2	succinate-semialdehyde dehydrogenase (acetylating).
1.2.1.77	1	3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+)).
1.2.1.78	1	2-formylbenzoate dehydrogenase.
1.2.1.79	20	succinate-semialdehyde dehydrogenase (NADP(+)).
1.2.1.80	2	long-chain acyl-[acyl-carrier-protein] reductase.
1.2.1.81	2	sulfoacetaldehyde dehydrogenase (acylating).
1.2.1.82	2	beta-apo-4'-carotenal dehydrogenase.
1.2.1.83	1	3-succinoylsemialdehyde-pyridine dehydrogenase.
1.2.1.84	21	alcohol-forming fatty acyl-CoA reductase (NADPH).
1.2.1.85	2	2-hydroxymuconate-6-semialdehyde dehydrogenase.
1.2.1.86	1	geranial dehydrogenase.
1.2.1.87	10	propanal dehydrogenase (CoA-propanoylating).
1.2.1.88	62	L-glutamate gamma-semialdehyde dehydrogenase.
1.2.1.89	2	D-glyceraldehyde dehydrogenase (NADP(+)).
1.2.1.90	2	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)(+)].
1.2.1.91	1	3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase.
1.2.1.92	2	3,6-anhydro-alpha-L-galactose dehydrogenase.
1.2.1.94	5	farnesal dehydrogenase.
1.2.1.95	6	L-2-aminoadipate reductase.
1.2.1.96	2	4-hydroxybenzaldehyde dehydrogenase (NADP(+)).
1.2.1.97	3	3-sulfolactaldehyde dehydrogenase.
1.2.1.98	1	2-hydroxy-2-methylpropanal dehydrogenase.
1.2.1.99	0	4-(gamma-glutamylamino)butanal dehydrogenase.
1.2.1.100	1	5-formyl-3-hydroxy-2-methylpyridine 4-carboxylate 5-dehydrogenase.
1.2.1.101	3	L-tyrosine reductase.
1.2.1.102	0	isopyridoxal dehydrogenase (5-pyridoxate-forming).
1.2.1.103	23	[amino-group carrier protein]-6-phospho-L-2-aminoadipate reductase.
1.2.1.104	0	pyruvate dehydrogenase system.
1.2.1.105	0	2-oxoglutarate dehydrogenase system.
1.2.1.106	20	[amino-group carrier protein]-5-phospho-L-glutamate reductase.
1.2.1.107	0	glyceraldehyde-3-phosphate dehydrogenase (arsenate-transferring).
1.2.1.108	0	alcohol-forming fatty acyl-CoA reductase (NADH).
1.2.1.n2	2	fatty acyl-CoA reductase.
1.2.2.1	0	formate dehydrogenase (cytochrome).
1.2.3.1	25	aldehyde oxidase.
1.2.3.3	2	pyruvate oxidase.
1.2.3.4	4	oxalate oxidase.
1.2.3.5	4	glyoxylate oxidase.
1.2.3.6	0	pyruvate oxidase (CoA-acetylating).
1.2.3.7	6	indole-3-acetaldehyde oxidase.
1.2.3.8	0	pyridoxal oxidase.
1.2.3.9	0	aryl-aldehyde oxidase.
1.2.3.13	0	4-hydroxyphenylpyruvate oxidase.
1.2.3.14	1	abscisic-aldehyde oxidase.
1.2.3.15	1	(methyl)glyoxal oxidase.
1.2.4.1	120	pyruvate dehydrogenase (acetyl-transferring).
1.2.4.2	105	oxoglutarate dehydrogenase (succinyl-transferring).
1.2.4.4	32	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring).
1.2.5.1	1	pyruvate dehydrogenase (quinone).
1.2.5.2	4	aldehyde dehydrogenase (quinone).
1.2.5.3	9	aerobic carbon monoxide dehydrogenase.
1.2.7.1	29	pyruvate synthase.
1.2.7.3	14	2-oxoglutarate synthase.
1.2.7.4	26	anaerobic carbon-monoxide dehydrogenase.
1.2.7.5	5	aldehyde ferredoxin oxidoreductase.
1.2.7.6	1	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin).
1.2.7.7	20	3-methyl-2-oxobutanoate dehydrogenase (ferredoxin).
1.2.7.8	12	indolepyruvate ferredoxin oxidoreductase.
1.2.7.10	3	oxalate oxidoreductase.
1.2.7.11	12	2-oxoacid oxidoreductase (ferredoxin).
1.2.7.12	13	formylmethanofuran dehydrogenase.
1.2.8.1	9	pyruvate synthase (flavodoxin).
1.2.98.1	2	formaldehyde dismutase.
1.2.99.6	6	carboxylate reductase.
1.2.99.7	1	aldehyde dehydrogenase (FAD-independent).
1.2.99.8	3	glyceraldehyde dehydrogenase (FAD-containing).
1.2.99.10	3	4,4'-diapolycopenoate synthase.
1.3.1.1	7	dihydrouracil dehydrogenase (NAD(+)).
1.3.1.2	11	dihydropyrimidine dehydrogenase (NADP(+)).
1.3.1.3	6	Delta(4)-3-oxosteroid 5beta-reductase.
1.3.1.5	0	cucurbitacin Delta(23)-reductase.
1.3.1.6	4	fumarate reductase (NADH).
1.3.1.7	0	meso-tartrate dehydrogenase.
1.3.1.8	0	acyl-CoA dehydrogenase (NADP(+)).
1.3.1.9	150	enoyl-[acyl-carrier-protein] reductase (NADH).
1.3.1.10	0	enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific).
1.3.1.11	0	2-coumarate reductase.
1.3.1.12	23	prephenate dehydrogenase.
1.3.1.13	2	prephenate dehydrogenase (NADP(+)).
1.3.1.14	98	dihydroorotate dehydrogenase (NAD(+)).
1.3.1.15	0	dihydroorotate dehydrogenase (NADP(+)).
1.3.1.16	0	beta-nitroacrylate reductase.
1.3.1.17	0	3-methyleneoxindole reductase.
1.3.1.18	0	kynurenate-7,8-dihydrodiol dehydrogenase.
1.3.1.19	1	cis-1,2-dihydrobenzene-1,2-diol dehydrogenase.
1.3.1.20	17	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase.
1.3.1.21	9	7-dehydrocholesterol reductase.
1.3.1.22	22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP(+)).
1.3.1.24	3	biliverdin reductase.
1.3.1.25	2	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase.
1.3.1.27	0	2-hexadecenal reductase.
1.3.1.28	3	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase.
1.3.1.29	3	cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase.
1.3.1.31	2	2-enoate reductase.
1.3.1.32	10	maleylacetate reductase.
1.3.1.33	16	protochlorophyllide reductase.
1.3.1.34	2	2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing].
1.3.1.36	3	geissoschizine dehydrogenase.
1.3.1.37	0	cis-2-enoyl-CoA reductase (NADPH).
1.3.1.38	7	trans-2-enoyl-CoA reductase (NADPH).
1.3.1.39	7	enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific).
1.3.1.40	0	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate reductase.
1.3.1.41	0	xanthommatin reductase.
1.3.1.42	7	12-oxophytodienoate reductase.
1.3.1.43	1	arogenate dehydrogenase.
1.3.1.44	13	trans-2-enoyl-CoA reductase (NAD(+)).
1.3.1.45	4	2'-hydroxyisoflavone reductase.
1.3.1.46	0	biochanin-A reductase.
1.3.1.47	0	alpha-santonin 1,2-reductase.
1.3.1.48	15	15-oxoprostaglandin 13-reductase.
1.3.1.49	1	cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase.
1.3.1.51	0	2'-hydroxydaidzein reductase.
1.3.1.53	2	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase.
1.3.1.54	5	precorrin-6A reductase.
1.3.1.56	6	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase.
1.3.1.57	1	phloroglucinol reductase.
1.3.1.58	2	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase.
1.3.1.60	2	dibenzothiophene dihydrodiol dehydrogenase.
1.3.1.62	0	pimeloyl-CoA dehydrogenase.
1.3.1.64	0	phthalate 4,5-cis-dihydrodiol dehydrogenase.
1.3.1.65	0	5,6-dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline dehydrogenase.
1.3.1.66	0	cis-dihydroethylcatechol dehydrogenase.
1.3.1.67	0	cis-1,2-dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylatedehydrogenase.
1.3.1.68	0	1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase.
1.3.1.69	0	zeatin reductase.
1.3.1.70	20	Delta(14)-sterol reductase.
1.3.1.71	6	Delta(24(24(1)))-sterol reductase.
1.3.1.72	7	Delta(24)-sterol reductase.
1.3.1.73	2	1,2-dihydrovomilenine 19,20-reductase.
1.3.1.74	9	2-alkenal reductase [NAD(P)(+)].
1.3.1.75	5	3,8-divinyl protochlorophyllide a 8-vinyl-reductase (NADPH).
1.3.1.76	148	precorrin-2 dehydrogenase.
1.3.1.77	1	anthocyanidin reductase [(2R,3R)-flavan-3-ol-forming].
1.3.1.78	2	arogenate dehydrogenase (NADP(+)).
1.3.1.79	0	arogenate dehydrogenase [NAD(P)(+)].
1.3.1.81	1	(+)-pulegone reductase.
1.3.1.82	1	(-)-isopiperitenone reductase.
1.3.1.83	5	geranylgeranyl diphosphate reductase.
1.3.1.84	5	acrylyl-CoA reductase (NADPH).
1.3.1.85	1	crotonyl-CoA carboxylase/reductase.
1.3.1.86	3	crotonyl-CoA reductase.
1.3.1.87	20	3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase.
1.3.1.88	5	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)].
1.3.1.89	41	tRNA-dihydrouridine(47) synthase [NAD(P)(+)].
1.3.1.90	4	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)(+)].
1.3.1.91	27	tRNA-dihydrouridine(20) synthase [NAD(P)(+)].
1.3.1.92	1	artemisinic aldehyde Delta(11(13)) reductase.
1.3.1.93	8	very-long-chain enoyl-CoA reductase.
1.3.1.94	18	polyprenal reductase.
1.3.1.95	1	acryloyl-CoA reductase (NADH).
1.3.1.96	1	Botryococcus squalene synthase.
1.3.1.97	1	botryococcene synthase.
1.3.1.98	472	UDP-N-acetylmuramate dehydrogenase.
1.3.1.100	3	chanoclavine-I aldehyde reductase.
1.3.1.101	3	2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase [NAD(P)H].
1.3.1.102	1	2-alkenal reductase (NADP(+)).
1.3.1.103	1	2-haloacrylate reductase.
1.3.1.104	22	enoyl-[acyl-carrier-protein] reductase.
1.3.1.105	4	2-methylene-furan-3-one reductase.
1.3.1.106	6	cobalt-precorrin-6A reductase.
1.3.1.107	1	sanguinarine reductase.
1.3.1.108	3	caffeoyl-CoA reductase.
1.3.1.109	0	butanoyl-CoA dehydrogenase complex (NAD(+), ferredoxin).
1.3.1.111	0	geranylgeranyl-bacteriochlorophyllide a reductase.
1.3.1.112	3	anthocyanidin reductase [(2S)-flavan-3-ol-forming].
1.3.1.113	1	(4-alkanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl phosphate reductase.
1.3.1.114	1	3-dehydro-bile acid Delta(4,6)-reductase.
1.3.1.115	1	3-oxocholoyl-CoA 4-desaturase.
1.3.1.116	1	7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase.
1.3.1.117	0	hydroxycinnamoyl-CoA reductase.
1.3.1.118	0	meromycolic acid enoyl-[acyl-carrier-protein] reductase.
1.3.1.119	1	chlorobenzene dihydrodiol dehydrogenase.
1.3.1.120	1	cyclohexane-1-carbonyl-CoA reductase (NADP(+)).
1.3.1.121	2	4-amino-4-deoxyprephenate dehydrogenase.
1.3.1.122	8	(S)-8-oxocitronellyl enol synthase.
1.3.1.123	1	7-epi-iridoid synthase.
1.3.1.124	12	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing].
1.3.1.125	1	acrylate reductase.
1.3.1.126	0	2-epi-5-epi-valiolone dehydrogenase.
1.3.1.128	3	precondylocarpine acetate reductase.
1.3.1.n3	1	curcumin reductase.
1.3.2.3	4	L-galactonolactone dehydrogenase.
1.3.2.4	3	fumarate reductase (cytochrome).
1.3.3.3	240	coproporphyrinogen oxidase.
1.3.3.4	15	protoporphyrinogen oxidase.
1.3.3.5	2	bilirubin oxidase.
1.3.3.6	40	acyl-CoA oxidase.
1.3.3.7	0	dihydrouracil oxidase.
1.3.3.8	2	tetrahydroberberine oxidase.
1.3.3.10	0	tryptophan alpha,beta-oxidase.
1.3.3.11	50	pyrroloquinoline-quinone synthase.
1.3.3.12	1	L-galactonolactone oxidase.
1.3.3.13	1	albonoursin synthase.
1.3.3.14	1	aclacinomycin-A oxidase.
1.3.3.15	7	coproporphyrinogen III oxidase (coproporphyrin-forming).
1.3.3.16	0	oxazoline dehydrogenase.
1.3.3.17	1	benzylmalonyl-CoA dehydrogenase.
1.3.4.1	2	fumarate reductase (CoM/CoB).
1.3.5.1	98	succinate dehydrogenase.
1.3.5.2	393	dihydroorotate dehydrogenase (quinone).
1.3.5.3	5	protoporphyrinogen IX dehydrogenase (quinone).
1.3.5.5	10	15-cis-phytoene desaturase.
1.3.5.6	10	9,9'-di-cis-zeta-carotene desaturase.
1.3.7.1	1	6-hydroxynicotinate reductase.
1.3.7.2	20	15,16-dihydrobiliverdin:ferredoxin oxidoreductase.
1.3.7.3	21	phycoerythrobilin:ferredoxin oxidoreductase.
1.3.7.4	4	phytochromobilin:ferredoxin oxidoreductase.
1.3.7.5	25	phycocyanobilin:ferredoxin oxidoreductase.
1.3.7.6	2	phycoerythrobilin synthase.
1.3.7.7	327	ferredoxin:protochlorophyllide reductase (ATP-dependent).
1.3.7.8	4	benzoyl-CoA reductase.
1.3.7.11	12	2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase.
1.3.7.12	3	red chlorophyll catabolite reductase.
1.3.7.13	0	3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin).
1.3.7.14	0	3,8-divinyl chlorophyllide a reductase.
1.3.7.15	10	chlorophyllide a reductase.
1.3.8.1	22	short-chain acyl-CoA dehydrogenase.
1.3.8.2	1	4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming).
1.3.8.3	1	(R)-benzylsuccinyl-CoA dehydrogenase.
1.3.8.4	9	isovaleryl-CoA dehydrogenase.
1.3.8.5	10	short-chain 2-methylacyl-CoA dehydrogenase.
1.3.8.6	8	glutaryl-CoA dehydrogenase (ETF).
1.3.8.7	26	medium-chain acyl-CoA dehydrogenase.
1.3.8.8	26	long-chain-acyl-CoA dehydrogenase.
1.3.8.9	5	very-long-chain acyl-CoA dehydrogenase.
1.3.8.10	2	cyclohex-1-ene-1-carbonyl-CoA dehydrogenase.
1.3.8.11	2	cyclohexane-1-carbonyl-CoA dehydrogenase (electron-transferflavoprotein).
1.3.8.12	1	(2S)-methylsuccinyl-CoA dehydrogenase.
1.3.8.13	44	crotonobetainyl-CoA reductase.
1.3.8.14	3	L-prolyl-[peptidyl-carrier protein] dehydrogenase.
1.3.8.15	1	3-(aryl)acrylate reductase.
1.3.8.16	1	2-amino-4-deoxychorismate dehydrogenase.
1.3.8.17	14	dehydro coenzyme F420 reductase.
1.3.98.1	40	dihydroorotate oxidase (fumarate).
1.3.98.3	16	coproporphyrinogen dehydrogenase.
1.3.98.4	1	5a,11a-dehydrotetracycline reductase.
1.3.98.5	58	hydrogen peroxide-dependent heme synthase.
1.3.98.6	3	AdoMet-dependent heme synthase.
1.3.98.7	4	[mycofactocin precursor peptide]-tyrosine decarboxylase.
1.3.99.4	5	3-oxosteroid 1-dehydrogenase.
1.3.99.5	2	3-oxo-5alpha-steroid 4-dehydrogenase (acceptor).
1.3.99.6	0	3-oxo-5beta-steroid 4-dehydrogenase.
1.3.99.8	0	2-furoyl-CoA dehydrogenase.
1.3.99.14	0	cyclohexanone dehydrogenase.
1.3.99.16	2	isoquinoline 1-oxidoreductase.
1.3.99.17	3	quinoline 2-oxidoreductase.
1.3.99.18	0	quinaldate 4-oxidoreductase.
1.3.99.19	0	quinoline-4-carboxylate 2-oxidoreductase.
1.3.99.23	5	all-trans-retinol 13,14-reductase.
1.3.99.25	0	carvone reductase.
1.3.99.26	1	all-trans-zeta-carotene desaturase.
1.3.99.27	5	1-hydroxycarotenoid 3,4-desaturase.
1.3.99.28	2	phytoene desaturase (neurosporene-forming).
1.3.99.29	1	phytoene desaturase (zeta-carotene-forming).
1.3.99.30	2	phytoene desaturase (3,4-didehydrolycopene-forming).
1.3.99.31	3	phytoene desaturase (lycopene-forming).
1.3.99.32	1	glutaryl-CoA dehydrogenase (acceptor).
1.3.99.33	6	urocanate reductase.
1.3.99.36	1	cypemycin cysteine dehydrogenase (decarboxylating).
1.3.99.37	1	1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase.
1.3.99.38	3	menaquinone-9beta-reductase.
1.3.99.39	2	carotenoid phi-ring synthase.
1.3.99.40	0	carotenoid chi-ring synthase.
1.3.99.41	2	3-(methylsulfanyl)propanoyl-CoA 2-dehydrogenase.
1.3.99.n1	4	3-hydroxybenzoyl-CoA reductase.
1.4.1.1	34	alanine dehydrogenase.
1.4.1.2	26	glutamate dehydrogenase.
1.4.1.3	43	glutamate dehydrogenase [NAD(P)(+)].
1.4.1.4	33	glutamate dehydrogenase (NADP(+)).
1.4.1.5	0	L-amino-acid dehydrogenase.
1.4.1.7	0	serine 2-dehydrogenase.
1.4.1.8	0	valine dehydrogenase (NADP(+)).
1.4.1.9	6	leucine dehydrogenase.
1.4.1.10	0	glycine dehydrogenase.
1.4.1.11	2	L-erythro-3,5-diaminohexanoate dehydrogenase.
1.4.1.12	2	2,4-diaminopentanoate dehydrogenase.
1.4.1.13	18	glutamate synthase (NADPH).
1.4.1.14	6	glutamate synthase (NADH).
1.4.1.15	0	lysine dehydrogenase.
1.4.1.16	5	diaminopimelate dehydrogenase.
1.4.1.17	2	N-methylalanine dehydrogenase.
1.4.1.18	1	lysine 6-dehydrogenase.
1.4.1.19	2	tryptophan dehydrogenase.
1.4.1.20	8	phenylalanine dehydrogenase.
1.4.1.21	53	aspartate dehydrogenase.
1.4.1.23	5	valine dehydrogenase (NAD(+)).
1.4.1.24	31	3-dehydroquinate synthase II.
1.4.1.25	1	L-arginine dehydrogenase.
1.4.1.26	1	2,4-diaminopentanoate dehydrogenase (NAD(+)).
1.4.1.27	0	glycine cleavage system.
1.4.1.28	2	secondary-alkyl amine dehydrogenase [NAD(P)(+)].
1.4.1.29	1	iminosuccinate reductase.
1.4.2.1	0	glycine dehydrogenase (cytochrome).
1.4.2.2	1	nicotine dehydrogenase.
1.4.2.3	2	pseudooxynicotine oxidase.
1.4.3.1	16	D-aspartate oxidase.
1.4.3.2	67	L-amino-acid oxidase.
1.4.3.3	31	D-amino-acid oxidase.
1.4.3.4	23	monoamine oxidase.
1.4.3.5	359	pyridoxal 5'-phosphate synthase.
1.4.3.7	0	D-glutamate oxidase.
1.4.3.8	0	ethanolamine oxidase.
1.4.3.10	1	putrescine oxidase.
1.4.3.11	4	L-glutamate oxidase.
1.4.3.12	0	cyclohexylamine oxidase.
1.4.3.13	26	protein-lysine 6-oxidase.
1.4.3.14	1	L-lysine oxidase.
1.4.3.15	0	D-glutamate(D-aspartate) oxidase.
1.4.3.16	43	L-aspartate oxidase.
1.4.3.19	8	glycine oxidase.
1.4.3.20	1	L-lysine 6-oxidase.
1.4.3.21	47	primary-amine oxidase.
1.4.3.22	6	diamine oxidase.
1.4.3.23	2	7-chloro-L-tryptophan oxidase.
1.4.3.25	4	L-arginine oxidase.
1.4.3.26	4	pre-mycofactocin synthase.
1.4.3.27	0	homospermidine oxidase.
1.4.4.2	537	glycine dehydrogenase (aminomethyl-transferring).
1.4.5.1	3	D-amino acid dehydrogenase (quinone).
1.4.7.1	12	glutamate synthase (ferredoxin).
1.4.9.1	10	methylamine dehydrogenase (amicyanin).
1.4.9.2	2	aralkylamine dehydrogenase (azurin).
