ec	n_uniprot_xrefs	description
1.1.2.3	3	L-lactate dehydrogenase (cytochrome).
1.1.2.4	6	D-lactate dehydrogenase (cytochrome).
1.1.2.5	0	D-lactate dehydrogenase (cytochrome c-553).
1.1.2.6	2	polyvinyl alcohol dehydrogenase (cytochrome).
1.1.2.7	8	methanol dehydrogenase (cytochrome c).
1.1.2.8	3	alcohol dehydrogenase (cytochrome c).
1.1.2.9	1	1-butanol dehydrogenase (cytochrome c).
1.1.2.10	3	lanthanide-dependent methanol dehydrogenase.
1.1.2.11	0	glucoside 3-dehydrogenase (cytochrome c).
1.1.3.4	8	glucose oxidase.
1.1.3.5	2	hexose oxidase.
1.1.3.6	5	cholesterol oxidase.
1.1.3.7	0	aryl-alcohol oxidase.
1.1.3.8	13	L-gulonolactone oxidase.
1.1.3.9	2	galactose oxidase.
1.1.3.10	9	pyranose oxidase.
1.1.3.11	0	L-sorbose oxidase.
1.1.3.12	1	pyridoxine 4-oxidase.
1.1.3.13	6	alcohol oxidase.
1.1.3.14	0	catechol oxidase (dimerizing).
1.1.3.15	29	(S)-2-hydroxy-acid oxidase.
1.1.3.16	3	ecdysone oxidase.
1.1.3.17	2	choline oxidase.
1.1.3.18	0	secondary-alcohol oxidase.
